tweet_id,retweet_count,favorite_count
892420643555336193,7474,35387
892177421306343426,5546,30631
891815181378084864,3670,23037
891689557279858688,7646,38680
891327558926688256,8248,36963
891087950875897856,2758,18629
890971913173991426,1792,10824
890729181411237888,16722,59631
890609185150312448,3814,25644
890240255349198849,6489,29257
890006608113172480,6497,28202
889880896479866881,4415,25661
889665388333682689,8856,44080
889638837579907072,3967,24795
889531135344209921,1997,13949
889278841981685760,4718,23149
888917238123831296,3976,26753
888804989199671297,3746,23475
888554962724278272,3065,18105
888078434458587136,3073,20007
887705289381826560,4785,27818
887517139158093824,10430,42609
887473957103951883,15926,63070
887343217045368832,9330,30935
887101392804085760,5282,28129
886983233522544640,6776,31977
886736880519319552,2823,10978
886680336477933568,3967,20662
886366144734445568,2805,19408
886267009285017600,4,110
886258384151887873,5605,25692
886054160059072513,96,0
885984800019947520,5950,29934
885528943205470208,5665,33022
885518971528720385,3306,18809
885311592912609280,16389,0
885167619883638784,3868,20084
884925521741709313,15984,70677
884876753390489601,4946,25537
884562892145688576,4165,22335
884441805382717440,5053,24901
884247878851493888,17983,66573
884162670584377345,2652,18755
883838122936631299,3028,20071
883482846933004288,8748,42089
883360690899218434,3266,20840
883117836046086144,5882,34043
882992080364220416,3439,21939
882762694511734784,4325,25946
882627270321602560,5377,25733
882268110199369728,10275,41159
882045870035918850,4313,26932
881906580714921986,3018,22397
881666595344535552,9464,46541
881633300179243008,7,116
881536004380872706,14194,45453
881268444196462592,4699,21415
880935762899988482,2483,15724
880872448815771648,3395,19570
880465832366813184,5516,26158
880221127280381952,3685,24760
880095782870896641,3863,25402
879862464715927552,3089,20579
879674319642796034,10,292
879492040517615616,2819,21597
879415818425184262,39619,97207
879376492567855104,2777,15488
879130579576475649,6049,0
879050749262655488,4173,20737
879008229531029506,2379,17495
878776093423087618,3633,17831
878604707211726852,6276,27658
878404777348136964,1131,0
878316110768087041,5897,0
878281511006478336,1131,7112
878057613040115712,6049,38769
877736472329191424,16818,72813
877611172832227328,71,0
877556246731214848,3392,20899
877316821321428993,4633,25257
877201837425926144,4947,24961
876838120628539392,2965,19064
876537666061221889,4186,21878
876484053909872640,2105,17310
876120275196170240,4150,25808
875747767867523072,3805,23145
875144289856114688,4377,20241
875097192612077568,5426,25327
875021211251597312,4201,23539
874680097055178752,4138,25674
874434818259525634,12965,0
874296783580663808,3684,24031
874057562936811520,3558,20982
874012996292530176,9122,31557
873580283840344065,3525,22369
873337748698140672,1412,0
873213775632977920,1412,6611
872967104147763200,4846,25174
872820683541237760,3333,13629
872620804844003328,3261,19167
872486979161796608,8124,37711
872122724285648897,7263,31663
871879754684805121,9803,34732
871762521631449091,3131,18717
871515927908634625,3123,18702
871166179821445120,5131,0
871102520638267392,4960,19378
871032628920680449,3431,21082
870804317367881728,5572,31215
870726314365509632,3,113
870656317836468226,2351,11419
870374049280663552,23971,77113
870308999962521604,3743,20361
870063196459192321,7500,33885
869772420881756160,9157,39576
869702957897576449,5683,26219
869596645499047938,2807,14831
869227993411051520,3402,18975
868880397819494401,13036,60762
868639477480148993,1874,0
868622495443632128,4781,24759
868552278524837888,1874,9372
867900495410671616,3795,22552
867774946302451713,6649,31646
867421006826221569,2265,14982
867072653475098625,108,0
867051520902168576,7166,30001
866720684873056260,4356,18654
866686824827068416,3149,17942
866450705531457537,32083,113968
866334964761202691,12965,48801
866094527597207552,7626,0
865718153858494464,5125,23994
865359393868664832,4557,24696
865006731092295680,7045,26193
864873206498414592,7931,30148
864279568663928832,2745,13649
864197398364647424,8052,28003
863907417377173506,3789,19287
863553081350529029,3836,14288
863471782782697472,2217,0
863432100342583297,4792,22261
863427515083354112,87,2059
863079547188785154,1015,8216
863062471531167744,2217,7907
862831371563274240,4716,17970
862722525377298433,3249,16033
862457590147678208,4505,19125
862096992088072192,21239,69495
861383897657036800,9830,33862
861288531465048066,3804,16107
861005113778896900,3511,15661
860981674716409858,1970,0
860924035999428608,728,0
860563773140209665,1970,7042
860524505164394496,4877,22237
860276583193509888,3248,17305
860184849394610176,5398,15685
860177593139703809,28515,0
859924526012018688,3799,18463
859851578198683649,3260,14550
859607811541651456,1432,17560
859196978902773760,27852,84621
859074603037188101,12629,31869
858860390427611136,7514,0
858843525470990336,3215,14737
858471635011153920,4511,20339
858107933456039936,2683,14883
857989990357356544,2404,15185
857746408056729600,9890,32371
857393404942143489,1528,5571
857263160327368704,4214,19015
857214891891077121,17,213
857062103051644929,155,0
857029823797047296,3702,17868
856543823941562368,2688,15530
856526610513747968,1756,11271
856330835276025856,625,0
856288084350160898,15,490
856282028240666624,5875,26352
855862651834028034,22,316
855860136149123072,911,4648
855857698524602368,1971,11302
855851453814013952,16943,43621
855818117272018944,5090,25399
855459453768019968,7714,28359
855245323840757760,5582,0
855138241867124737,41,0
854732716440526848,5695,21690
854482394044301312,6427,27883
854365224396361728,4417,18033
854120357044912130,7021,30562
854010172552949760,2971,15531
853760880890318849,5437,27333
853639147608842240,9432,33142
853299958564483072,3358,14852
852936405516943360,1876,0
852912242202992640,1704,8637
852672615818899456,2043,14315
852553447878664193,3285,15610
852311364735569921,9424,31811
852226086759018497,6504,19209
852189679701164033,1510,11024
851861385021730816,19,0
851591660324737024,3293,15670
851464819735769094,6717,23332
851224888060895234,5469,19927
850753642995093505,8637,29618
850380195714523136,2476,12639
850333567704068097,312,3330
850145622816686080,3612,15744
850019790995546112,4642,19693
849776966551130114,7226,29307
849668094696017920,4735,0
849412302885593088,3002,15330
849336543269576704,1804,11027
849051919805034497,8081,40887
848690551926992896,4144,24357
848324959059550208,4428,23907
848213670039564288,688,7897
848212111729840128,2889,15781
